Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160229_CH_Mcap_12.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-29 14:16:37 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
G4,58-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,33.94888306,33.91992188,0.040957294,,,,FALSE,0.01,FALSE,3,20,,N,N
G4,58-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,30.67721748,30.5650177,0.158675805,,,,FALSE,0.01,FALSE,3,20,,N,N
G5,234-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.55714417,31.4457283,0.157564476,,,,FALSE,0.01,TRUE,3,27,,N,N
G6,234-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.33431435,31.4457283,0.157564476,,,,FALSE,0.01,TRUE,3,26,,N,N
G7,234-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.16534996,28.26948929,0.147276595,,,,FALSE,0.01,FALSE,3,20,,N,N
G7,234-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,28.67747688,28.86228561,0.261359006,,,,FALSE,0.01,FALSE,3,20,,N,N
G8,234-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.37363052,28.26948929,0.147276595,,,,FALSE,0.01,FALSE,3,20,,N,N
G8,234-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.04709435,28.86228561,0.261359006,,,,FALSE,0.01,FALSE,3,20,,N,N
G9,25-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,35.95341873,35.9079361,0.064324856,,,,FALSE,0.01,TRUE,3,31,,N,N
G10,25-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,35.86244965,35.9079361,0.064324856,,,,FALSE,0.01,TRUE,3,31,,N,N
G11,25-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,29.03479385,29.10214806,0.095253229,,,,FALSE,0.01,FALSE,3,20,,N,N
G11,25-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
G12,25-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,29.16950226,29.10214806,0.095253229,,,,FALSE,0.01,FALSE,3,20,,N,N
G12,25-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
H1,,,,,,,,,,,,,,,,,,N,N
H2,202-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,27.63305855,27.79468918,0.22857888,,,,FALSE,0.01,FALSE,3,20,,N,N
H2,202-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
H3,202-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,27.9563179,27.79468918,0.22857888,,,,FALSE,0.01,FALSE,3,20,,N,N
H3,202-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
H4,(+)-208-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,1,2,,N,N
H5,234-2.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.59382248,28.65013123,0.079631247,,,,FALSE,0.01,TRUE,3,23,,N,N
H6,234-2.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.70643806,28.65013123,0.079631247,,,,FALSE,0.01,TRUE,3,23,,N,N
H7,234-2.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
H7,234-2.11.15,D,UNKNOWN,FAM,NFQ-MGB,27.97376633,27.96285248,0.015434513,,,,FALSE,0.01,FALSE,3,20,,N,N
H8,234-2.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
H8,234-2.11.15,D,UNKNOWN,FAM,NFQ-MGB,27.95193863,27.96285248,0.015434513,,,,FALSE,0.01,FALSE,3,20,,N,N
H9,NTC,Mc,NTC,FAM,NFQ-MGB,9.537167549,,,,,,FALSE,0.01,TRUE,3,6,,Y,N
H10,NTC,Mc,NTC,FAM,NFQ-MGB,4.796608925,,,,,,FALSE,0.01,TRUE,3,5,,Y,N
H11,(+)-208-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.23515511,28.7483902,0.725823998,,,,FALSE,0.01,FALSE,3,20,,N,Y
H11,(+)-208-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,25.34848022,26.0920372,1.05154705,,,,FALSE,0.01,FALSE,3,20,,N,Y
H12,,,,,,,,,,,,,,,,,,N,N
