Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_6.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 12:43:42 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G7,215-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
G8,215-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G8,215-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G9,205-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.99233055,30.04793167,0.078631856,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
G10,205-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.10353279,30.04793167,0.078631856,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
G11,205-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.44119072,28.50422287,0.08914227,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G11,205-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G12,205-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.56725693,28.50422287,0.08914227,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G12,205-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N,N
H2,131-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.29928398,26.49700165,0.279616356,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H2,131-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H3,131-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.69472122,26.49700165,0.279616356,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H3,131-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,29.20274734,29.06417847,0.195967332,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
H5,215-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,10.2440033,10.2398262,0.005907977,,,,FALSE,0.01,TRUE,3,35,,N,N,N,N
H6,215-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,10.23564816,10.2398262,0.005907977,,,,FALSE,0.01,TRUE,3,39,,N,N,N,Y
H7,215-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
H7,215-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
H8,215-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
H8,215-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
H9,NTC,Mc,NTC,FAM,NFQ-MGB,10.65777969,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N,N
H10,NTC,Mc,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,1,2,,N,N,N,N
H11,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
