Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 14:54:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
G11,211-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,25.63781929,25.81784248,0.254591256,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G11,211-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G12,211-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,25.99786568,25.81784248,0.254591256,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G12,211-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,211-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,32.73770905,31.3572197,1.952305436,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
H2,211-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
H3,211-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.97673225,31.3572197,1.952305436,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
H3,211-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
H4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,27.69652748,27.53244019,0.232055828,,,,FALSE,0.01,TRUE,3,23,,N,N,N
H5,234-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.23791122,30.01058769,0.321484029,,,,FALSE,0.01,TRUE,3,26,,N,N,N
H6,234-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.78326416,30.01058769,0.321484029,,,,FALSE,0.01,TRUE,3,27,,N,N,N
H7,234-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H7,234-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,30.19085884,29.91573715,0.389080822,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H8,234-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H8,234-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,29.64061546,29.91573715,0.389080822,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H9,NTC,Mc,NTC,FAM,NFQ-MGB,9.095005035,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H10,NTC,Mc,NTC,FAM,NFQ-MGB,8.678220749,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H11,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
